"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-06-18,0,0.000489818574825782,0.0324013778552914,0.0295387080884899,0.0243137221815117,0.0214505825001689,0.0612777726818015,0.0571307756411259,0.096834690100529,0.130438099058818
2021-06-19,0,0.000519942157146433,0.0334823448036329,0.0305370844289412,0.0252770157633004,0.0224691990045008,0.0641612542703426,0.0621601294530606,0.106029196712417,0.139838999279438
2021-06-20,0,0.000551913503708334,0.0345965506819277,0.0315667953466435,0.0262765149019194,0.0235342778661395,0.0671660018792382,0.0675765046050654,0.115894537291628,0.149736144903641
2021-06-21,0,0.000585845650006245,0.0357448929102073,0.0326287193596942,0.0273134635332407,0.024647779953093,0.070295832051368,0.0734003950521167,0.126446773714585,0.160133110495679
2021-06-22,0,0.000621858506476282,0.0369282847570163,0.0337237524427433,0.0283891389902877,0.025811733750011,0.0735545638763268,0.0796519157525577,0.1376975392199,0.171030808641174
2021-06-23,0,0.000660079271588469,0.0381476550424653,0.0348528078774935,0.029504852146031,0.0270282362289981,0.0769460066771848,0.0863505478975601,0.149653571446461,0.182427321620312
2021-06-24,0,0.000700642869121036,0.039403947791155,0.0360168160599713,0.0306619474851074,0.0282994535726181,0.0804739466651966,0.0935148633489948,0.162316329855444,0.194317764173693
2021-06-25,0,0.00074369241095053,0.0406981218320684,0.0372167242617189,0.031861803097765,0.0296276217297546,0.0841421325517535,0.10116223216992,0.175681713367986,0.206694181021934
2021-06-26,0,0.000789379686754851,0.0420311503424605,0.0384534963419737,0.0331058305889992,0.0310150467836797,0.0879542601152534,0.109308518228307,0.189739889212554,0.219545481808702
2021-06-27,0,0.000837865682090935,0.0434040203327277,0.0397281124078153,0.0343954748955164,0.0324641051103537,0.0919139557299576,0.117967768877255,0.204475238215362,0.232857415033884
2021-06-28,0,0.000889321126374736,0.0448177320691906,0.0410415684191855,0.0357322140028341,0.0339772433036561,0.0960247588743238,0.127151905588528,0.219866415592567,0.246612581394997
2021-06-29,0,0.00094392707235829,0.0462732984316917,0.0423948757356152,0.0371175585545108,0.0355569778429357,0.100290103647704,0.13687042306435,0.235886520284133,0.260790485830678
